Province,Year,AgeGroup_0_14,AgeGroup_15_29,AgeGroup_30_44,AgeGroup_45_59,AgeGroup_60_74,AgeGroup_75_plus,Age not stated,Female_Value,Male_Value,Business_Immigration,Protected_Person_in_Canada,Provincial_Nominee_Program,Resettled_Refugee,Sponsored_Family_Immigration,Temp_Resident_to_Permanent_Resident,Worker_Program,Administrative and Support Services,"Art, Culture, and Media Professionals",Business and Financial Managers,Child and Home Care Services,Cleaning and Maintenance,Construction and Equipment Operations,Construction and Facility Management,Customer Service and Support Occupations,Customer Services and Personal Services Management,Education and Teaching Professionals,Financial and Business Professionals,Food Service and Hospitality,Health and Social Services Managers,Healthcare and Medical Professionals,Information and Communication Managers,"Legal, Social, and Community Service Professionals",Manufacturing Management,Manufacturing and Production,Other Occupations,Paralegals and Social Service Workers,Policy Researchers and Analysts,Protective Service Occupations,Restaurant and Accommodation Management,Retail and Cashiers,Sales and Marketing Professionals,Sales and Retail Management,Sales and Services Supervisors,Scientists and Engineers,Senior Management,Technologists and Technicians,Transportation and Natural Resources Management,Vacancy Rate,Average HPI,Inflation Rate,Mortgage Rate,Population
Alberta ,2016,11085,13755,18320,3930,1880,280,0,25440,23805,20,925,8070,6285,13015,0,20340,1805,80,395,220,455,1315,135,130,5,220,370,1910,20,770,0,50,60,840,0,210,45,0,145,0,15,110,410,165,55,630,35,2.6,98.64,1.4,3.7,2117940
Alberta ,2017,7460,12825,14905,3970,2495,465,0,22250,19865,15,1230,7195,3690,14255,0,15160,1515,70,220,260,355,925,65,195,5,270,290,1290,10,525,0,50,20,625,0,155,60,0,160,0,55,230,565,145,45,445,25,2.2,102.16,1.6,3.8,2119770
Alberta ,2018,7000,13885,14605,3450,2625,440,0,21810,20195,50,1470,10270,4230,13930,0,11390,1875,60,285,285,295,455,60,195,10,355,345,425,0,530,0,75,20,810,0,140,85,0,215,0,145,315,855,125,70,450,20,1.5,103.22,2.3,4.3,2115995
Alberta ,2019,7435,14535,14465,3410,3300,565,0,22570,21140,95,1295,11235,5680,15295,0,9425,1920,55,290,445,75,355,45,115,15,370,350,515,5,510,5,85,20,1080,0,160,105,0,215,0,155,215,1065,90,45,340,20,1,103.15,1.9,4.2,2112404
Alberta ,2020,3795,7570,8010,1815,1560,225,0,11880,11090,35,1020,7825,1625,7560,0,4520,1665,60,150,125,25,190,55,40,10,270,285,1360,0,335,0,65,10,480,0,130,70,0,135,0,50,135,605,70,45,215,15,1.7,105.3,0.7,3.7,2108894
Alberta ,2021,6360,14330,13915,2915,1600,280,0,20020,19380,35,2915,8590,4405,10950,1695,10040,2715,105,205,370,85,435,65,105,25,420,315,1045,10,435,0,70,10,585,0,400,70,0,250,60,90,295,180,145,60,425,10,1,116.17,3.4,3.2,2107481
Alberta ,2022,9915,14705,16465,4050,3695,700,0,25185,24340,65,1925,11620,10805,14120,2960,7320,2425,70,315,350,105,250,45,95,10,340,420,780,10,770,0,150,15,665,0,240,95,0,180,160,120,195,780,200,75,260,25,0.9,125.1,6.8,4.9,2123253
Alberta ,2023,9745,16415,17255,4160,3910,700,0,26525,25655,90,1415,13535,11465,15630,2700,6140,2880,85,370,375,85,275,50,110,15,350,440,675,5,395,0,80,10,820,0,310,140,0,170,380,155,245,770,280,70,295,20,1.039,124.81,3.6,6,2150278
British Columbia ,2016,6370,11745,13580,3740,2220,430,0,19965,18115,295,565,6760,4040,12975,0,13255,2100,625,540,135,435,545,65,75,10,315,550,1080,35,355,5,70,50,145,0,190,90,0,175,0,25,150,290,140,220,295,45,8.5,98.64,1.4,3.7,585620
British Columbia ,2017,4800,13265,13745,3635,2485,535,0,20145,18315,230,710,7570,1970,13360,0,14465,2940,740,440,190,435,575,60,90,15,405,620,1430,20,355,25,105,35,215,0,175,135,0,285,10,10,325,495,180,145,325,35,6.7,102.16,1.6,3.8,596500
British Columbia ,2018,5635,15785,16810,3585,2530,500,0,23210,21635,325,950,11025,2245,14770,0,15335,3975,795,710,265,300,570,95,110,20,555,860,1380,35,450,20,130,30,490,0,215,175,0,450,10,30,510,590,215,145,325,45,6.2,103.22,2.3,4.3,3844244
British Columbia ,2019,6400,17250,19170,4025,2750,625,0,26115,24100,470,1015,12575,2695,16250,0,17010,3795,850,850,680,330,845,120,185,50,760,1005,1410,30,520,30,175,35,430,0,265,250,0,605,0,20,555,645,255,170,365,55,7.1,103.15,1.9,4.2,3897795
British Columbia ,2020,3480,9945,11140,2245,1425,235,0,14570,13900,215,1075,8460,740,8030,0,9710,3380,595,510,240,130,350,85,100,35,480,690,795,20,290,10,95,20,190,0,140,160,0,485,0,0,475,435,215,135,275,40,7.6,105.3,0.7,3.7,3948656
British Columbia ,2021,6880,31810,24235,4385,1850,305,0,35160,34305,250,3215,11000,1955,14295,6085,32000,5290,1130,925,680,355,2035,320,460,120,650,1460,1160,45,515,40,140,35,1060,0,805,235,0,135,230,145,85,730,600,205,950,95,2.8,116.17,3.4,3.2,3990684
British Columbia ,2022,9140,19785,22280,5645,3700,665,0,31135,30075,590,2315,13190,4725,16480,8900,14160,3900,670,865,800,335,1130,165,525,40,650,890,1870,25,595,15,140,25,1320,0,375,250,0,490,535,250,495,720,310,135,440,90,2.4,125.1,6.8,4.9,4086398
British Columbia ,2023,9010,21835,23290,5815,3515,740,0,32700,31495,810,1420,15905,5295,16490,8840,13080,4160,835,875,825,325,825,195,775,55,645,1005,1295,60,645,20,135,35,1685,0,705,275,0,380,1345,490,400,605,340,280,440,80,3.064,124.81,3.6,6,691365
Manitoba ,2016,4565,4760,5900,1170,365,70,0,8365,8460,10,70,9960,3665,2375,0,720,895,25,285,25,145,240,20,220,0,165,185,230,5,360,0,20,20,390,0,60,45,0,70,35,85,100,80,85,5,145,25,2.8,98.64,1.4,3.7,3769051
Manitoba ,2017,3735,4230,5210,1030,385,55,0,7260,7380,0,80,9430,1990,2475,0,625,905,25,170,25,85,240,25,200,0,170,160,255,5,320,0,15,20,365,0,65,30,0,65,45,90,95,115,80,15,160,10,2.9,102.16,1.6,3.8,3804201
Manitoba ,2018,3720,4445,5595,980,405,75,0,7665,7555,15,120,9890,1445,2745,0,965,930,20,185,20,195,195,20,290,5,225,160,290,5,280,0,25,15,440,0,85,40,0,65,60,110,115,95,115,5,110,10,2.9,103.22,2.3,4.3,3080143
Manitoba ,2019,4255,6240,6490,1210,570,95,0,9360,9505,20,235,12540,1770,3160,0,1080,1190,45,225,35,390,185,25,500,5,130,225,575,15,220,0,45,30,945,0,140,20,5,95,195,165,135,175,90,5,145,20,3,103.15,1.9,4.2,3105630
Manitoba ,2020,1750,2950,3050,525,280,50,0,4205,4405,15,250,5835,330,1495,0,650,665,15,95,20,195,125,10,215,0,70,95,365,0,80,0,15,10,395,0,80,10,0,25,70,75,70,85,55,5,95,0,3.8,105.3,0.7,3.7,3130812
Manitoba ,2021,2855,7140,5245,935,340,60,0,7815,8760,20,385,10330,845,2345,1080,1400,1285,40,160,75,515,355,15,570,5,70,175,1315,0,110,0,35,20,1120,0,165,20,0,95,185,150,165,275,165,0,135,15,5,116.17,3.4,3.2,3158509
